element_ID,element_interpret,element_general_type,element_thickness_type
12489,channel,channel,partial eroded
12490,channel,channel,partial eroded
12491,channel,channel,partial eroded
12492,channel,channel,partial eroded
12493,channel,channel,partial eroded
12494,channel,channel,partial eroded
12495,channel,channel,partial eroded
12496,channel,channel,partial eroded
12497,channel,channel,partial eroded
12498,channel,channel,partial eroded
12499,channel,channel,partial eroded
12502,channel,channel,partial eroded
12503,channel,channel,partial eroded
12504,channel,channel,partial eroded
12505,channel,channel,partial eroded
12509,channel,channel,partial eroded
12510,channel,channel,partial eroded
12511,channel,channel,partial eroded
12512,channel,channel,partial eroded
12513,channel,channel,partial eroded
12514,channel,channel,partial eroded
12515,channel,channel,partial eroded
12516,channel,channel,partial eroded
12517,channel,channel,partial eroded
12518,channel,channel,partial eroded
12522,internal levee deposits,levee,true (not maximum)
12524,internal levee deposits,levee,true (not maximum)
12526,channel,channel,partial eroded
12529,channel,channel,artificial
12530,channel,channel,artificial
12531,channel,channel,artificial
12532,channel,channel,artificial
12533,channel,channel,artificial
12534,channel,channel,artificial
12535,channel,channel,artificial
20001,levee sediments,levee,partial observed
20002,overbank facies,levee,artificial
20005,cut and fill scour,channel,true (maximum)
20006,overbank facies,levee,artificial
20008,overbank facies,levee,artificial
20009,cut and fill scour,channel,true (maximum)
20010,overbank facies,levee,artificial
20013,cut and fill scour,channel,true (maximum)
20014,overbank facies,levee,artificial
20072,levee sediments,levee,true (maximum)
20079,inner levee/terrace/confined levee,levee,partial eroded
20080,channel axis,channel,partial observed
20087,lobe,terminal deposit,true (maximum)
20088,lobe,terminal deposit,true (maximum)
20090,lobe,terminal deposit,true (maximum)
20091,lobe,terminal deposit,true (maximum)
20093,lobe,terminal deposit,true (maximum)
20094,lobe,terminal deposit,true (maximum)
20096,lobe,terminal deposit,true (maximum)
20097,lobe,terminal deposit,true (maximum)
20102,lobe,terminal deposit,partial observed
20103,lobe fringe/distal overbank,terminal deposit,true (maximum)
20104,lobe off-axix/proximal overbank,terminal deposit,true (maximum)
20105,lobe,terminal deposit,partial observed
20106,lobe,terminal deposit,partial observed
20107,channel-fill,channel,true (maximum)
20108,channel-fill,channel,true (not maximum)
20109,channel-fill,channel,partial observed
20110,lobe apex (high amalgamation zone),terminal deposit,true (maximum)
20111,lobe apex (high amalgamation zone),terminal deposit,true (maximum)
20112,overbank,levee,true (maximum)
20139,levee-overbank,levee,true (maximum)
22815,slope channel,channel,apparent
22816,slope channel,channel,apparent
22817,slope channel,channel,apparent
22818,slope channel,channel,apparent
22819,slope channel,channel,apparent
22821,slope channel,channel,apparent
22822,slope channel,channel,apparent
22823,slope channel,channel,apparent
22824,slope channel,channel,apparent
22825,slope channel,channel,partial observed
22826,slope channel,channel,partial observed
22827,slope channel,channel,apparent
22828,slope channel,channel,apparent
22839,slope channel,channel,apparent
22840,slope channel,channel,apparent
22841,slope channel,channel,apparent
22842,slope channel,channel,partial observed
